ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,319.14494628,331.52647480943233,501.35621480628015,319.14494628,319.14494628,93.85159402046746,93.85159402046746,93.85159402046746,93.85159402046746,93.85159402046746,93.85159402046746,0.0,0.0,0.0,412.9965403004675
2014-02-01,317.05426456615385,218.6578814634868,392.4560220341037,317.05426456615385,317.05426456615385,-15.094974034606148,-15.094974034606148,-15.094974034606148,-15.094974034606148,-15.094974034606148,-15.094974034606148,0.0,0.0,0.0,301.9592905315477
2014-03-01,315.1659068891315,218.2232499196983,389.58613496442905,315.1659068891315,315.1659068891315,-14.35591219097547,-14.35591219097547,-14.35591219097547,-14.35591219097547,-14.35591219097547,-14.35591219097547,0.0,0.0,0.0,300.80999469815606
2014-04-01,313.075225177035,182.34618264487617,353.2129790086202,313.075225177035,313.075225177035,-44.777871924590976,-44.777871924590976,-44.777871924590976,-44.777871924590976,-44.777871924590976,-44.777871924590976,0.0,0.0,0.0,268.29735325244405
2014-05-01,311.0519848089659,195.79210711780763,356.43804503441123,311.0519848089659,311.0519848089659,-35.166578892665974,-35.166578892665974,-35.166578892665974,-35.166578892665974,-35.166578892665974,-35.166578892665974,0.0,0.0,0.0,275.88540591629993
2014-06-01,308.9613030952945,211.80056565615652,386.14461670597154,308.9613030952945,308.9613030952945,-12.507686661140015,-12.507686661140015,-12.507686661140015,-12.507686661140015,-12.507686661140015,-12.507686661140015,0.0,0.0,0.0,296.45361643415447
2014-07-01,306.9380627286272,202.59136282093075,372.8139408884719,306.9380627286272,306.9380627286272,-17.91559236262617,-17.91559236262617,-17.91559236262617,-17.91559236262617,-17.91559236262617,-17.91559236262617,0.0,0.0,0.0,289.022470366001
2014-08-01,304.8473810164042,259.98394730037137,421.4335178102116,304.8473810164042,304.8473810164042,36.21942859891792,36.21942859891792,36.21942859891792,36.21942859891792,36.21942859891792,36.21942859891792,0.0,0.0,0.0,341.06680961532214
2014-09-01,302.7566993031232,243.45879757341078,405.4245478636552,302.7566993031232,302.7566993031232,21.52954588011098,21.52954588011098,21.52954588011098,21.52954588011098,21.52954588011098,21.52954588011098,0.0,0.0,0.0,324.28624518323414
2014-10-01,300.73345893504984,234.68538094894564,408.4568077452645,300.73345893504984,300.73345893504984,22.224636843874524,22.224636843874524,22.224636843874524,22.224636843874524,22.224636843874524,22.224636843874524,0.0,0.0,0.0,322.95809577892436
2014-11-01,298.642777221374,239.94780270880315,418.5842167853979,298.642777221374,298.642777221374,30.449178223720075,30.449178223720075,30.449178223720075,30.449178223720075,30.449178223720075,30.449178223720075,0.0,0.0,0.0,329.0919554450941
2014-12-01,296.6195368545475,273.12830350519624,445.769400466561,296.6195368545475,296.6195368545475,63.333882512263294,63.333882512263294,63.333882512263294,63.333882512263294,63.333882512263294,63.333882512263294,0.0,0.0,0.0,359.9534193668108
2015-01-01,294.5288551421602,268.4421265160452,441.098899798456,294.5288551421602,294.5288551421602,53.626904240281206,53.626904240281206,53.626904240281206,53.626904240281206,53.626904240281206,53.626904240281206,0.0,0.0,0.0,348.1557593824414
2015-02-01,292.4381734314638,194.07640187309985,369.8308041844343,292.4381734314638,292.4381734314638,-9.618797836162656,-9.618797836162656,-9.618797836162656,-9.618797836162656,-9.618797836162656,-9.618797836162656,0.0,0.0,0.0,282.81937559530115
2015-03-01,290.5498157581063,199.7539759314411,374.90730108724483,290.5498157581063,290.5498157581063,-3.7253825746620595,-3.7253825746620595,-3.7253825746620595,-3.7253825746620595,-3.7253825746620595,-3.7253825746620595,0.0,0.0,0.0,286.8244331834443
2015-04-01,288.4591340483176,145.80221292518868,313.7526807957873,288.4591340483176,288.4591340483176,-54.33382556101939,-54.33382556101939,-54.33382556101939,-54.33382556101939,-54.33382556101939,-54.33382556101939,0.0,0.0,0.0,234.1253084872982
2015-05-01,286.43589368474056,165.7833272376996,342.171035414056,286.43589368474056,286.43589368474056,-31.46111396458077,-31.46111396458077,-31.46111396458077,-31.46111396458077,-31.46111396458077,-31.46111396458077,0.0,0.0,0.0,254.9747797201598
2015-06-01,284.345211975711,186.980804878869,361.9195658863967,284.345211975711,284.345211975711,-10.405266597991316,-10.405266597991316,-10.405266597991316,-10.405266597991316,-10.405266597991316,-10.405266597991316,0.0,0.0,0.0,273.93994537771965
2015-07-01,282.3219716130738,179.63714878891423,351.86080913500933,282.3219716130738,282.3219716130738,-18.898605265542667,-18.898605265542667,-18.898605265542667,-18.898605265542667,-18.898605265542667,-18.898605265542667,0.0,0.0,0.0,263.42336634753116
2015-08-01,280.2312899048846,242.37256247473047,414.0538358182237,280.2312899048846,280.2312899048846,43.93314287313945,43.93314287313945,43.93314287313945,43.93314287313945,43.93314287313945,43.93314287313945,0.0,0.0,0.0,324.16443277802404
2015-09-01,278.1406081966953,198.71947752485923,373.76529136445953,278.1406081966953,278.1406081966953,9.484510599078954,9.484510599078954,9.484510599078954,9.484510599078954,9.484510599078954,9.484510599078954,0.0,0.0,0.0,287.62511879577426
2015-10-01,276.1173678332042,202.25987184501352,371.983593983004,276.1173678332042,276.1173678332042,9.65044704237452,9.65044704237452,9.65044704237452,9.65044704237452,9.65044704237452,9.65044704237452,0.0,0.0,0.0,285.7678148755787
2015-11-01,274.0266861242634,231.2993298865021,405.1350017504565,274.0266861242634,274.0266861242634,44.198856212495045,44.198856212495045,44.198856212495045,44.198856212495045,44.198856212495045,44.198856212495045,0.0,0.0,0.0,318.22554233675845
2015-12-01,272.0034457609235,278.9478337509171,454.09193461053036,272.0034457609235,272.0034457609235,92.8528731460581,92.8528731460581,92.8528731460581,92.8528731460581,92.8528731460581,92.8528731460581,0.0,0.0,0.0,364.85631890698164
2016-01-01,269.912764052139,196.6416832950757,365.0058571081734,269.912764052139,269.912764052139,13.018206509862818,13.018206509862818,13.018206509862818,13.018206509862818,13.018206509862818,13.018206509862818,0.0,0.0,0.0,282.9309705620018
2016-02-01,267.82208234598767,182.22111090241762,351.1618509414117,267.82208234598767,267.82208234598767,-3.6200763401104474,-3.6200763401104474,-3.6200763401104474,-3.6200763401104474,-3.6200763401104474,-3.6200763401104474,0.0,0.0,0.0,264.2020060058772
2016-03-01,265.8662833304861,141.6623215525911,316.33621864646545,265.8662833304861,265.8662833304861,-35.925266070786115,-35.925266070786115,-35.925266070786115,-35.925266070786115,-35.925266070786115,-35.925266070786115,0.0,0.0,0.0,229.9410172597
2016-04-01,263.77560162426033,146.7405769799148,328.1580821039486,263.77560162426033,263.77560162426033,-25.886227532927087,-25.886227532927087,-25.886227532927087,-25.886227532927087,-25.886227532927087,-25.886227532927087,0.0,0.0,0.0,237.88937409133325
2016-05-01,261.75236126489534,131.26917002456923,310.74760581302195,261.75236126489534,261.75236126489534,-42.2075748856066,-42.2075748856066,-42.2075748856066,-42.2075748856066,-42.2075748856066,-42.2075748856066,0.0,0.0,0.0,219.54478637928875
2016-06-01,259.6616795602182,155.80677344760346,333.41618473699236,259.6616795602182,259.6616795602182,-16.805104924183862,-16.805104924183862,-16.805104924183862,-16.805104924183862,-16.805104924183862,-16.805104924183862,0.0,0.0,0.0,242.85657463603434
2016-07-01,257.638439201813,158.6781376823695,324.15727217946784,257.638439201813,257.638439201813,-15.951158577099115,-15.951158577099115,-15.951158577099115,-15.951158577099115,-15.951158577099115,-15.951158577099115,0.0,0.0,0.0,241.6872806247139
2016-08-01,255.5477574979459,193.8339777344617,361.64584905122433,255.5477574979459,255.5477574979459,20.119187833328727,20.119187833328727,20.119187833328727,20.119187833328727,20.119187833328727,20.119187833328727,0.0,0.0,0.0,275.66694533127463
2016-09-01,253.45707579407875,212.03885215154915,383.96036384678615,253.45707579407875,253.45707579407875,44.97709454458529,44.97709454458529,44.97709454458529,44.97709454458529,44.97709454458529,44.97709454458529,0.0,0.0,0.0,298.43417033866405
2016-10-01,251.43383543670586,216.10913417250634,391.60009911501714,251.43383543670586,251.43383543670586,48.68934340750907,48.68934340750907,48.68934340750907,48.68934340750907,48.68934340750907,48.68934340750907,0.0,0.0,0.0,300.1231788442149
