ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,71.36516179200001,16.51326712549943,58.93865295632226,71.36516179200001,71.36516179200001,-32.62567057510647,-32.62567057510647,-32.62567057510647,-32.62567057510647,-32.62567057510647,-32.62567057510647,0.0,0.0,0.0,38.73949121689354
2014-02-01,71.91835751593847,6.1903144437132935,46.32065803136118,71.91835751593847,71.91835751593847,-45.55545427119967,-45.55545427119967,-45.55545427119967,-45.55545427119967,-45.55545427119967,-45.55545427119967,0.0,0.0,0.0,26.362903244738796
2014-03-01,72.41801816981837,48.2757821543841,87.56999825819942,72.41801816981837,72.41801816981837,-4.4854990464512365,-4.4854990464512365,-4.4854990464512365,-4.4854990464512365,-4.4854990464512365,-4.4854990464512365,0.0,0.0,0.0,67.93251912336713
2014-04-01,72.97121389419105,96.01870212663512,137.03440662902244,72.97121389419105,72.97121389419105,44.14314500948272,44.14314500948272,44.14314500948272,44.14314500948272,44.14314500948272,44.14314500948272,0.0,0.0,0.0,117.11435890367378
2014-05-01,73.50656459532127,129.37625474556043,170.5272602695755,73.50656459532127,73.50656459532127,77.26158201615533,77.26158201615533,77.26158201615533,77.26158201615533,77.26158201615533,77.26158201615533,0.0,0.0,0.0,150.7681466114766
2014-06-01,74.05976031982247,93.12832600193425,134.93114586748513,74.05976031982247,74.05976031982247,39.28624146526806,39.28624146526806,39.28624146526806,39.28624146526806,39.28624146526806,39.28624146526806,0.0,0.0,0.0,113.34600178509054
2014-07-01,74.59511102076766,70.76765183048181,113.0054729180602,74.59511102076766,74.59511102076766,17.09201594352585,17.09201594352585,17.09201594352585,17.09201594352585,17.09201594352585,17.09201594352585,0.0,0.0,0.0,91.68712696429351
2014-08-01,75.14830674507769,43.808670078963324,86.52405184379961,75.14830674507769,75.14830674507769,-9.687852809164246,-9.687852809164246,-9.687852809164246,-9.687852809164246,-9.687852809164246,-9.687852809164246,0.0,0.0,0.0,65.46045393591345
2014-09-01,75.70150246931847,35.14067840111788,76.36139802687293,75.70150246931847,75.70150246931847,-19.933000186882907,-19.933000186882907,-19.933000186882907,-19.933000186882907,-19.933000186882907,-19.933000186882907,0.0,0.0,0.0,55.76850228243556
2014-10-01,76.23685317060678,27.79376904926586,68.68067549396895,76.23685317060678,76.23685317060678,-27.922824310367023,-27.922824310367023,-27.922824310367023,-27.922824310367023,-27.922824310367023,-27.922824310367023,0.0,0.0,0.0,48.31402886023976
2014-11-01,76.79004889527138,14.306963431814696,55.089384548130816,76.79004889527138,76.79004889527138,-41.60181236067141,-41.60181236067141,-41.60181236067141,-41.60181236067141,-41.60181236067141,-41.60181236067141,0.0,0.0,0.0,35.18823653459997
