ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,106.52616241273999,96.90227438525216,121.99421892976021,106.52616241273999,106.52616241273999,3.326236300532101,3.326236300532101,3.326236300532101,3.326236300532101,3.326236300532101,3.326236300532101,0.0,0.0,0.0,109.8523987132721
2014-02-01,107.64460111891711,100.25315925714348,125.85777150702954,107.64460111891711,107.64460111891711,5.94757861987375,5.94757861987375,5.94757861987375,5.94757861987375,5.94757861987375,5.94757861987375,0.0,0.0,0.0,113.59217973879086
2014-03-01,108.65480382127065,94.32956045585357,121.15117458129598,108.65480382127065,108.65480382127065,0.13474089712572312,0.13474089712572312,0.13474089712572312,0.13474089712572312,0.13474089712572312,0.13474089712572312,0.0,0.0,0.0,108.78954471839637
2014-04-01,109.77324252445455,82.90434030908118,108.55105668013374,109.77324252445455,109.77324252445455,-14.207323978479506,-14.207323978479506,-14.207323978479506,-14.207323978479506,-14.207323978479506,-14.207323978479506,0.0,0.0,0.0,95.56591854597504
2014-05-01,110.85560255625721,94.8428850571488,121.6788986099428,110.85560255625721,110.85560255625721,-3.0239482600674434,-3.0239482600674434,-3.0239482600674434,-3.0239482600674434,-3.0239482600674434,-3.0239482600674434,0.0,0.0,0.0,107.83165429618977
2014-06-01,111.97404125578662,87.011010125144,112.36066271884009,111.97404125578662,111.97404125578662,-11.901310428808026,-11.901310428808026,-11.901310428808026,-11.901310428808026,-11.901310428808026,-11.901310428808026,0.0,0.0,0.0,100.07273082697859
2014-07-01,113.05640128604816,89.2801650643305,114.26731761603503,113.05640128604816,113.05640128604816,-10.961252906404306,-10.961252906404306,-10.961252906404306,-10.961252906404306,-10.961252906404306,-10.961252906404306,0.0,0.0,0.0,102.09514837964385
2014-08-01,114.17483998398508,99.99201287566211,125.08708296256235,114.17483998398508,114.17483998398508,-1.7813015507336918,-1.7813015507336918,-1.7813015507336918,-1.7813015507336918,-1.7813015507336918,-1.7813015507336918,0.0,0.0,0.0,112.3935384332514
2014-09-01,115.29327868306768,100.75045627233806,125.5861828258111,115.29327868306768,115.29327868306768,-1.3406940726922976,-1.3406940726922976,-1.3406940726922976,-1.3406940726922976,-1.3406940726922976,-1.3406940726922976,0.0,0.0,0.0,113.95258461037538
2014-10-01,116.37563871377847,94.23380675209023,120.88870077471002,116.37563871377847,116.37563871377847,-8.874446344415151,-8.874446344415151,-8.874446344415151,-8.874446344415151,-8.874446344415151,-8.874446344415151,0.0,0.0,0.0,107.50119236936332
2014-11-01,117.49407741217962,97.15927625778134,124.0368770077542,117.49407741217962,117.49407741217962,-6.9837493186697746,-6.9837493186697746,-6.9837493186697746,-6.9837493186697746,-6.9837493186697746,-6.9837493186697746,0.0,0.0,0.0,110.51032809350984
2014-12-01,118.57643744525512,108.12124116070557,135.51978268743292,118.57643744525512,118.57643744525512,2.9490517846879505,2.9490517846879505,2.9490517846879505,2.9490517846879505,2.9490517846879505,2.9490517846879505,0.0,0.0,0.0,121.52548922994308
2015-01-01,119.69487614609983,108.96959240665309,134.91352884113533,119.69487614609983,119.69487614609983,1.7511937925054895,1.7511937925054895,1.7511937925054895,1.7511937925054895,1.7511937925054895,1.7511937925054895,0.0,0.0,0.0,121.44606993860532
2015-02-01,120.81294117444449,119.26540553351873,144.93720815603126,120.81294117444449,120.81294117444449,11.21459868066987,11.21459868066987,11.21459868066987,11.21459868066987,11.21459868066987,11.21459868066987,0.0,0.0,0.0,132.02753985511436
2015-03-01,121.82280582582828,106.98276277246222,132.7515830892533,121.82280582582828,121.82280582582828,-2.359768897170942,-2.359768897170942,-2.359768897170942,-2.359768897170942,-2.359768897170942,-2.359768897170942,0.0,0.0,0.0,119.46303692865735
2015-04-01,122.94087026128894,90.75541814388842,116.79022503100832,122.94087026128894,122.94087026128894,-19.53217144297306,-19.53217144297306,-19.53217144297306,-19.53217144297306,-19.53217144297306,-19.53217144297306,0.0,0.0,0.0,103.40869881831588
2015-05-01,124.02275569032929,113.67999209309801,138.82729574735615,124.02275569032929,124.02275569032929,2.097159572617407,2.097159572617407,2.097159572617407,2.097159572617407,2.097159572617407,2.097159572617407,0.0,0.0,0.0,126.11991526294669
2015-06-01,125.14070396700433,103.47695247215363,129.45806255214305,125.14070396700433,125.14070396700433,-8.663639464172586,-8.663639464172586,-8.663639464172586,-8.663639464172586,-8.663639464172586,-8.663639464172586,0.0,0.0,0.0,116.47706450283174
2015-07-01,126.22148891421132,94.05637043066221,119.619356334876,126.22148891421132,126.22148891421132,-19.937099745672437,-19.937099745672437,-19.937099745672437,-19.937099745672437,-19.937099745672437,-19.937099745672437,0.0,0.0,0.0,106.28438916853888
2015-08-01,127.33714097000663,119.69081594909396,146.89248799087216,127.33714097000663,127.33714097000663,5.6879181689305796,5.6879181689305796,5.6879181689305796,5.6879181689305796,5.6879181689305796,5.6879181689305796,0.0,0.0,0.0,133.0250591389372
2015-09-01,128.45279302580192,114.23193517177468,139.82183417653056,128.45279302580192,128.45279302580192,-1.3678653759397252,-1.3678653759397252,-1.3678653759397252,-1.3678653759397252,-1.3678653759397252,-1.3678653759397252,0.0,0.0,0.0,127.0849276498622
2015-10-01,129.53131151446533,104.43761563536603,130.2793590130833,129.53131151446533,129.53131151446533,-12.511271654684426,-12.511271654684426,-12.511271654684426,-12.511271654684426,-12.511271654684426,-12.511271654684426,0.0,0.0,0.0,117.02003985978091
2015-11-01,130.64578061941754,112.34418465727325,138.73959640613646,130.64578061941754,130.64578061941754,-5.691421977035876,-5.691421977035876,-5.691421977035876,-5.691421977035876,-5.691421977035876,-5.691421977035876,0.0,0.0,0.0,124.95435864238166
2015-12-01,131.7217268503423,122.09141309289416,147.5113163082448,131.7217268503423,131.7217268503423,2.672974411991459,2.672974411991459,2.672974411991459,2.672974411991459,2.672974411991459,2.672974411991459,0.0,0.0,0.0,134.39470126233374
2016-01-01,132.83353795563124,119.8624531904464,145.1292132683782,132.83353795563124,132.83353795563124,0.24302205859895643,0.24302205859895643,0.24302205859895643,0.24302205859895643,0.24302205859895643,0.24302205859895643,0.0,0.0,0.0,133.0765600142302
2016-02-01,132.32068691723748,134.3804985747334,161.60123205386972,132.32068691723748,132.32068691723748,16.464424639519482,16.464424639519482,16.464424639519482,16.464424639519482,16.464424639519482,16.464424639519482,0.0,0.0,0.0,148.78511155675696
2016-03-01,131.83798320052009,124.81225222053612,150.52965306454956,131.83798320052009,131.83798320052009,4.788194865043511,4.788194865043511,4.788194865043511,4.788194865043511,4.788194865043511,4.788194865043511,0.0,0.0,0.0,136.6261780655636
2016-04-01,131.32198957230497,115.40645959366604,140.45364533714394,131.32198957230497,131.32198957230497,-3.291203177112224,-3.291203177112224,-3.291203177112224,-3.291203177112224,-3.291203177112224,-3.291203177112224,0.0,0.0,0.0,128.03078639519273
2016-05-01,130.81960084647756,105.59558860559636,132.28703861797285,130.81960084647756,130.81960084647756,-12.991825749638323,-12.991825749638323,-12.991825749638323,-12.991825749638323,-12.991825749638323,-12.991825749638323,0.0,0.0,0.0,117.82777509683923
2016-06-01,130.30046582978923,98.63061369773592,124.62244010846126,130.30046582978923,130.30046582978923,-18.776360836118187,-18.776360836118187,-18.776360836118187,-18.776360836118187,-18.776360836118187,-18.776360836118187,0.0,0.0,0.0,111.52410499367105
2016-07-01,129.73444309718883,123.7397952160787,149.21598540554092,129.73444309718883,129.73444309718883,7.126058410635661,7.126058410635661,7.126058410635661,7.126058410635661,7.126058410635661,7.126058410635661,0.0,0.0,0.0,136.8605015078245
2016-08-01,129.14684968464934,99.19306219271692,125.47346200413449,129.14684968464934,129.14684968464934,-16.444092899040694,-16.444092899040694,-16.444092899040694,-16.444092899040694,-16.444092899040694,-16.444092899040694,0.0,0.0,0.0,112.70275678560864
2016-09-01,128.55925627210985,114.52569919693548,140.62079646878107,128.55925627210985,128.55925627210985,-1.6374153571143157,-1.6374153571143157,-1.6374153571143157,-1.6374153571143157,-1.6374153571143157,-1.6374153571143157,0.0,0.0,0.0,126.92184091499553
2016-10-01,127.98875916653647,113.84469920397855,139.8424624899358,127.98875916653647,127.98875916653647,-1.6022548299861574,-1.6022548299861574,-1.6022548299861574,-1.6022548299861574,-1.6022548299861574,-1.6022548299861574,0.0,0.0,0.0,126.38650433655032
2016-11-01,127.39924549077735,105.2633076860602,131.13571769357057,127.39924549077735,127.39924549077735,-9.4334743812101,-9.4334743812101,-9.4334743812101,-9.4334743812101,-9.4334743812101,-9.4334743812101,0.0,0.0,0.0,117.96577110956724
2016-12-01,126.82834214209443,118.07847475838626,143.224816483215,126.82834214209443,126.82834214209443,3.489310423215497,3.489310423215497,3.489310423215497,3.489310423215497,3.489310423215497,3.489310423215497,0.0,0.0,0.0,130.3176525653099
2017-01-01,126.2379148369888,118.48726660990168,144.69464266023851,126.2379148369888,126.2379148369888,4.9679002967017825,4.9679002967017825,4.9679002967017825,4.9679002967017825,4.9679002967017825,4.9679002967017825,0.0,0.0,0.0,131.20581513369058
2017-02-01,125.64748753188316,113.55510363989292,139.875441424067,125.64748753188316,125.64748753188316,0.6688217985064407,0.6688217985064407,0.6688217985064407,0.6688217985064407,0.6688217985064407,0.6688217985064407,0.0,0.0,0.0,126.3163093303896
2017-03-01,125.1141983468805,116.13187892902198,141.6212489172729,125.1141983468805,125.1141983468805,2.5185293434887166,2.5185293434887166,2.5185293434887166,2.5185293434887166,2.5185293434887166,2.5185293434887166,0.0,0.0,0.0,127.63272769036922
2017-04-01,124.5237710349133,103.14067218491769,127.77023709982984,124.5237710349133,124.5237710349133,-8.791749646511482,-8.791749646511482,-8.791749646511482,-8.791749646511482,-8.791749646511482,-8.791749646511482,0.0,0.0,0.0,115.73202138840182
2017-05-01,123.95238976725682,102.97303978119785,128.11775085954767,123.95238976725682,123.95238976725682,-8.055350215479807,-8.055350215479807,-8.055350215479807,-8.055350215479807,-8.055350215479807,-8.055350215479807,0.0,0.0,0.0,115.89703955177701
2017-06-01,123.36196245224772,95.31101916717162,120.71224330489073,123.36196245224772,123.36196245224772,-15.273237497804443,-15.273237497804443,-15.273237497804443,-15.273237497804443,-15.273237497804443,-15.273237497804443,0.0,0.0,0.0,108.08872495444328
2017-07-01,122.79058117965826,107.36296168115938,134.21150637683812,122.79058117965826,122.79058117965826,-1.937717535455635,-1.937717535455635,-1.937717535455635,-1.937717535455635,-1.937717535455635,-1.937717535455635,0.0,0.0,0.0,120.85286364420263
2017-08-01,122.20015386635865,100.3378431283067,125.65643918645804,122.20015386635865,122.20015386635865,-9.160673424579457,-9.160673424579457,-9.160673424579457,-9.160673424579457,-9.160673424579457,-9.160673424579457,0.0,0.0,0.0,113.03948044177919
2017-09-01,121.60972655305903,107.2614571126432,134.42841572570435,121.60972655305903,121.60972655305903,-1.4308986902035161,-1.4308986902035161,-1.4308986902035161,-1.4308986902035161,-1.4308986902035161,-1.4308986902035161,0.0,0.0,0.0,120.17882786285551
2017-10-01,121.03834528212393,102.27107973349216,128.92675618791327,121.03834528212393,121.03834528212393,-5.236797441758922,-5.236797441758922,-5.236797441758922,-5.236797441758922,-5.236797441758922,-5.236797441758922,0.0,0.0,0.0,115.801547840365
2017-11-01,120.44791796882431,100.3619554220977,125.49617394033076,120.44791796882431,120.44791796882431,-8.231195480312884,-8.231195480312884,-8.231195480312884,-8.231195480312884,-8.231195480312884,-8.231195480312884,0.0,0.0,0.0,112.21672248851144
2017-12-01,119.87653669788921,110.35719898518971,136.16700799057395,119.87653669788921,119.87653669788921,3.2212482614622577,3.2212482614622577,3.2212482614622577,3.2212482614622577,3.2212482614622577,3.2212482614622577,0.0,0.0,0.0,123.09778495935147
2018-01-01,119.2861093845896,109.94524034642089,136.16886603705765,119.2861093845896,119.2861093845896,3.326236300543885,3.326236300543885,3.326236300543885,3.326236300543885,3.326236300543885,3.326236300543885,0.0,0.0,0.0,122.61234568513348
2018-02-01,118.69568207128997,111.28942730062447,137.76851175438105,118.69568207128997,118.69568207128997,5.947578619844694,5.947578619844694,5.947578619844694,5.947578619844694,5.947578619844694,5.947578619844694,0.0,0.0,0.0,124.64326069113466
2018-03-01,118.16239288508386,105.57258136372167,130.9950309854305,118.16239288508386,118.16239288508386,0.13474089710541104,0.13474089710541104,0.13474089710541104,0.13474089710541104,0.13474089710541104,0.13474089710541104,0.0,0.0,0.0,118.29713378218928
2018-04-01,117.57196557178425,90.79793895588047,116.5303272168352,117.57196557178425,117.57196557178425,-14.207323978454964,-14.207323978454964,-14.207323978454964,-14.207323978454964,-14.207323978454964,-14.207323978454964,0.0,0.0,0.0,103.36464159332928
