Category,ARIMA_MAE,ARIMA_RMSE,ExpSmooth_MAE,ExpSmooth_RMSE,Ensemble_MAE,Ensemble_RMSE,Prophet_MAE,Prophet_RMSE,Ensemble_vs_Prophet_MAE%,Best_Model
N05C,5.883067446771655,6.5947561422302,7.624015829743703,8.476306749281434,6.717286567006246,7.4486983946882015,7.437719129835413,8.939007258447432,9.7,ARIMA
N02BA,11.874628914815467,19.882353212899933,14.479188239615333,19.601989329216817,12.410025249258016,19.025681903920134,20.09788232375313,25.09594907497937,38.3,ARIMA
M01AB,19.399115977700582,31.20184358103476,17.70092234229979,31.63636686387993,18.346363117613215,31.2948500758559,23.633370506383972,33.82179357672864,22.4,ExpSmooth
M01AE,19.023510395006802,29.998585019845112,19.71298619694921,30.43492239161987,19.294154494193663,30.20539024342223,17.825719078742853,27.330515721448453,-8.2,ARIMA
N05B,32.07393241118679,51.499103565304,35.424209494799356,48.33240611202414,31.379954251089547,48.61132247117221,61.46104449767718,75.79605349579575,48.9,Ensemble
R06,39.68012734562778,48.0879781411909,47.08343903105906,57.56856761001298,43.352551202971824,51.899232700526774,23.705899583880978,34.15380263276806,-82.9,ARIMA
R03,90.0393766480778,110.72623695112911,100.7744516998425,127.8470569461089,94.2111348496645,118.7645840078469,74.96060962793806,90.9548793568785,-25.7,ARIMA
N02BE,254.29659974332725,323.43469750573604,338.8012905635944,437.4066787707703,266.0009034051567,349.9231097995214,175.40973284879954,303.5174272498426,-51.6,ARIMA
