Category,ARIMA_MAE,ARIMA_RMSE,ExpSmooth_MAE,ExpSmooth_RMSE,Prophet_MAE,Prophet_RMSE
M01AB,2.240162454454679,2.837567352702928,2.2351059286401025,2.8290130709545145,2.2925384057029343,2.8792765571447343
M01AE,1.565422756037702,1.995453205362908,1.5748271324840517,2.000752412243802,1.5936674068138144,1.9952369922438333
N02BA,1.3246182997897125,1.6189520171346152,1.2904194512403544,1.6024827773616828,1.2965041731367446,1.7159191745522004
N02BE,9.017858498722616,13.096561110126608,9.097759125219978,13.342732821201281,8.124541830631783,9.762487679945846
N05B,3.078437944437984,4.010766227989553,3.1697045321584505,4.188596379097251,3.5099160889857717,4.2464241352265075
N05C,0.9278540629697994,1.1986185047775684,0.9238284390832726,1.1980941415076503,0.9074745949512553,1.2044232949092928
R03,4.21789807668565,6.147526039457972,4.214280699879851,6.145750907450328,5.191208555703863,6.812469850474864
R06,1.9717146967625172,2.329237180472483,2.040429600165196,2.395239897947915,1.5477058093487264,1.9545482875427205
